Mã CK ,Sàn ,Ngành ,Cơ Cấu Thu Nhập,Đầu Vào,Sản Xuất,Đầu Ra,Khác
FCN,HOSE,Kỹ thuật xây dựng,"Cơ cấu doanh thu, Lợi nhuận gộp (2022)
Xây lắp
• Doanh thu: 95%.
• Lợi nhuận gộp: 78%.
Năng lượng
• Doanh thu: 5%.
• Lợi nhuận gộp: 22%",,"Công suất nhà máy điện gió (2022)
Điện gió Quốc Vinh - Sóc Trăng: 30MW (được hưởng giá FIT
8,5 cent/kwh).
Điện mặt trời Vĩnh Hảo 6 (FCN sở hữu 40%): 50 MWp (được
hưởng giá FIT 9,35 cent/Kwh).","Mảng xây dựng công nghiệp
FCN là một trong những đơn vị thi công hạ tầng công nghiệp
hàng đầu Việt Nam, chuyên thi công các gói thầu về nền móng
và hạ tầng, cọc khoan nhồi và cọc PHC...
Giá trị backlog ước tính cuối năm 2022 và một số gói thầu quy
mô lớn:
• Nhổn-Ga Hà Nội: 850 tỷ.
• Cảng quốc tế Hải Phòng: 380 tỷ.
• Nhà máy nhiệt điện Vũng Áng 2: 370 tỷ.
• Nhà máy điện khí LNG NT3&4: 305 tỷ.
• Khu liên hợp Gang thép Dung Quất 2: 310 tỷ.
Mảng bất động sản
Cụm công nghiệp Danh Thắng - Đoan Bái, Dự án Khu đô thị
Nam Thái đang thực hiện công tác quy hoạch.","Kế hoạch kinh doanh 2023 và giai đoạn tới
Cổ tức năm 2023 dự kiến tối đa 5% bằng tiền.
Mảng bất động sản dân cư, KCN sẽ là mảng trọng điểm của
FCN trong tương lai."
GMD,HOSE,Cơ sở hạ tầng giao thông,"Cơ cấu doanh thu và lợi nhuận gộp theo sản phẩm
(2022)
Khai thác cảng
• Doanh thu: 79,2%.
• Lợi nhuận gộp: 75,3%.
Logistic
• Doanh thu: 20,7%.
• Lợi nhuận gộp: 24,6%.
Khác
• Doanh thu: 0,1%.
• Lợi nhuận gộp: 0,1%.",,"Năm 2023 GMD sẽ thoái vốn khỏi cảng Nam Đình
Vũ
Khối cảng GMD Hải Phòng
Công suất: 1.150.000 TEU.
•Cảng Nam Hải (2009): 150.000 TEU/năm. Cỡ tàu có thể
tiếp nhận 10.000 DWT.
• Nam Đình Vũ giai đoạn 1 (2018): 500.000 TEU/năm. Cỡ
tàu có thể tiếp nhận 48.000 DWT.
• Cảng Nam Hải ICD (2015): diện tích bãi CY 150.000 m2,
diện tích kho CFS 50.000m2, diện tích khu vực M&R
10.000m2, diện tích khu vực Depot 100.000m2.
• Cảng Nam Hải Đình Vũ (2014): 550.000 TEU/năm. Cỡ
tàu có thể tiếp nhận tối đa 48.000 DWT.
GMD Dung Quất (2009)
Công suất: 2.000.000 triệu tấn. Cỡ tàu có thể tiếp nhận
70.000 DWT.
Top2 tại miền Trung.
Khối cảng GMD miền Nam
Công suất: 2.350.000 TEU.

• Cảng nước sâu Gemalink): 1.500.000 TEU (đi vào vận
hành Q1/2021). Cỡ tàu có thể tiếp nhận 230.000 DWT.
• Khối cảng Phước Long (1990) và Bình Dương (2004):
850.000 TEU.
Logistic
""Mạng lưới 19 trung tâm phân phối.
Diện tích trung tâm phân phối: 400.000m2.
Công suất cảng hàng không (SCS): 200.000 tấn.
Logistic hàng lạnh: 50.000 pallets.
Vận tải đường sông
Đưa vào vận hành 4 tàu mới trong năm 2021.
Công suất 248 TEU/tàu - là cỡ tàu sông hiện đại và lớn nhất
Đông Nam Á.","Thị phần (2022)
Khối cảng Hải Phòng, GMD chiếm 17% thị phần.
Khối cảng Cái Mép Thị Vải, GMD chiếm 18% thị phần.
Sản lượng thông qua toàn hệ thống cảng GMD
(2022)
Đạt hơn 3 triệu TEU (+13% YoY). Trong đó khu vực cảng chiến
lược tại hai đầu Nam Bắc – Hải Phòng và Hồ Chí Minh/Bình
Dương/ Bà Rịa Vũng Tàu tiếp tục giữ trọng số.
Lĩnh vực logistic
Top đầu thị phần tuyến vận tải biển Bắc – Nam, top 2 thị phần
tuyến huyết mạch Việt Nam – Campuchia và dẫn đầu trên
tuyến vận tải thủy nội vùng sông Mekong.","Kế hoạch kinh doanh 2023 và giai đoạn tới
Áp dụng công nghệ Smartport vào tất cả các cảng của GMD.
Hoàn thiện thủ tục xây dựng và thu xếp vốn để triển khai xây
dựng giai đoạn 2 của cảng Gemalink trong nửa đầu năm 2023,
sẵn sàng đưa vào khai thác từ năm 2024 - 2025.
Tìm cơ hội thoái vốn mảng cao su."
GSP,HOSE,"Dầu, khí đốt và nhiên liệu tiêu hao","Cơ cấu doanh thu (2022)
Thương mại (33,2%)
Dịch vụ vận tải (66,8%)
• Quốc tế (30,9%).
• Nội địa (35,9%)",,"Mảng dịch vụ vận tải LPG bằng tàu biển
Sở hữu 6 con tàu có trọng tải từ 1.6 nghìn DWT đến 4.771 nghìn
DWT, với hệ thống kho cảng chuyên dùng cho LPG tại Việt
Nam
Mảng dịch vụ vận tải LPG bằng xe bồn
GAS Shipping đã thuê định hạn 4 xe bồn, đồng thời quản lý,
điều hành số lượng 15-20 xe bồn của các nhà thầu phụ và đối
tác
Mảng dịch vụ vận tải Dầu/Hóa chất
Sở hữu 2 con tàu có trọng tải khoảng 40 nghìn DWT","Mảng dịch vụ vận tải LPG bằng tàu biển
Chủ yếu vận chuyển cho NM LHD Dung Quốc và Cty kinh
doanh sản phẩm khí PVGas Trading
Dịch vụ vận tải LPG bằng xe bồn
Thị trường nội địa: công ty cung cấp dịch vụ trải dài từ Đà
Nẵng đến miền Tây Nam Bộ.
Thị trường xuất khẩu: Gas Shipping cung cấp dịch vụ vận tải
cho các đơn vị xuất khẩu LPG sang Campuchia
Mảng dịch vụ vận tải dầu/hóa chất
Hoạt động tại các thị trường Châu Mỹ - Châu Âu",
GVR,HOSE,Giấy và lâm sản,"Cơ cấu doanh thu và lợi nhuận gộp theo sản phẩm
(2022)
Mů cao su
• Doanh thu: 71,2%%.
• Lợi nhuận gộp: 75%.
Sản phẩm từ cao su
• Doanh thu: 3,1%.
• Lợi nhuận gộp: 0,8%.
Chế biến gỗ
Điện
• Doanh thu: 15,5%.
• Lợi nhuận gộp: 8,6%.
• Doanh thu: 2,8%.
• Lợi nhuận gộp: 5,9%.
Bất động sản, cơ sở hạ tầng
• Doanh thu: 3,2%.
Lợi nhuận gộp: 8,6%.
Khác
• Doanh thu: 4%.
• Lợi nhuận gộp: 1,1%.","Diện tích đất trồng cao su (2022)
Hơn 394 nghìn ha cao su tập trung chủ yếu ở Bình Dương,
Đồng Nai, Bình Phước. Diện tích cao su kinh doanh đạt 240
nghìn ha
Diện tích đất thanh lý cao su
Bình quân dao động khoảng 10-12 nghìn ha/năm","Mảng trồng, khai thác và chế biến cao su
NM chế biến mủ:
• 58 nhà máy chế biến với tổng công suất thiết kế xấp xỉ
608.4 nghìn tấn/năm
• Trong năm 2022, sản lượng sản xuất đạt khoảng 500
nghìn tấn cao su
NM sản xuất găng tay:
• Công suất thiết kế 2.5 tỷ chiếc găng tay/năm
• Giai đoạn 2020-2021, nhà máy hoạt động 100% công
suất
Mảng công nghiệp cao su
5 công ty sản xuất sản phẩm công nghiệp mang thương hiệu
VRG
Mảng chế biến gỗ
18 nhà máy sản xuất gỗ. Trong đó, 14 nhà máy sơ chế, ghép
tấm và tính chế, 4 nhà máy MDF
Nông nghiệp ứng dụng cao","Mang trong, khai thác và chế biến cao su
Các sản phẩm như SVR 10, 20, L, 3L,...
Thị trường tiêu thụ: Xuất khẩu hơn 70 quốc gia và cùng lãnh
thổ với những khách hàng lớn như: Goodyear, Bridgestone,
Michelin,..
Năng suất bình quân: 1.57 tấn/ha, thấp hơn mức bình quân
ngành 1.68 tấn/ha
Mảng công nghiệp cao su
Một số sản phẩm như lốp xe, nệm gối cao su, găng tay,...
Sản lượng tiêu thụ (2022): các sản phẩm như lốp xe VRG
4.837 nghìn bộ, 10 chủng loại lốp xe 2 bánh thương hiệu VRG
31,3 nghìn chiếc.
Mảng chế biến gỗ
Sản lượng tiêu thụ (2022): 1,2 triệu m3 gỗ các loại.
Mảng KCN
GVR đang đầu tư vào 10 công ty hoạt động trong lĩnh vực hạ
tầng KCN như Nam Tân Uyên, Tân Bình, Long Khánh,...
• Gồm 16 dự án công ty đang quản lý với tổng diện tích
hơn 4 nghìn ha
Hiện công ty đang thực hiện thủ tục đầu tư và mở rộng thêm
diện tích 1.735 nghìn ha, nâng tổng diện tích các KCN lên
5.666 nghìn ha","Mục tiêu trung và dài hạn
Mảng cao su:
• Năm 2025, Sản lượng CSTN sẽ đạt 527 nghìn tấn
• CAGR 2015-2025 tăng 4.13%
• Định hướng diện tích sẽ giảm 100 nghìn ha trong 15 năm
tới
Mảng KCN:
• Giai đoạn 2021-2030, Tổng diện tích dự kiến quy hoạch
khu/cụm công nghiệp là 39.177 nghìn ha (trong đó: KCN
là 37.388 nghìn ha; Cụm CN là 1.79 nghìn ha)
• Trong 5 năm tới, dự kiến có thêm 9 dự án KCN với tổng
quỹ đất 5 nghìn ha, tập trung tại Bình Dương, Bình
Phước, Đồng Nai và Pleiku
• Giai đoạn 2021 – 2025, VRG đẩy mạnh chuyển dịch cơ
cấu ngành phát triển từ 15-20 nghìn hạ diện tích KCN,
tập trung chủ yếu ở Bình Dương và Đồng Nai"
HAG,HOSE,Sản phẩm thực phẩm,"Cơ cấu doanh thu (T4-2023)
Chăn nuôi
• Doanh thu: 30%.
• 35.133 con heo thịt
Cây ăn trái
• Doanh thu: 44%.
• Chuỗi xuất khẩu: 15.151 tấn, Dùng cho thức ăn gia súc:
2.371 tấn
Phụ trợ (26%)","Nuôi heo
Chuối thải sau khi ủ xong 2 ngày sẽ cho heo nái ăn trực tiếp,
trung bình ăn khoảng 8-10 quả/ngày tùy giai đoạn (heo xuất
chuồng trung bình nặng 100kg)
Giá vốn con heo của HAGL chỉ vào khoảng 35.000 VND/kg
Phần chuối thải còn lại sẽ được tận dụng tiếp làm bột chuối
dùng trộn làm thức ăn cho heo, trong đó bột chuối chiếm
khoảng 40%, còn lại là bắp, đậu nành, vi chất, thảo mộc","Công suất sản xuất
7 cụm chuồng trại chăn nuôi heo: Công suất 400000 con heo
thịt mỗi năm
Trung bình một con heo nái một năm đẻ 2 lứa, tổng thời gian
để có một con heo thịt vào khoảng 8,5 tháng.
10000 ha trồng trái cây, trong đó trồng chuối chiếm 5000 ha","Chuối
Chủ yếu xuất sang Trung Quốc với thương hiệu Mekong
Banana.... và Hàn Quốc với thương hiệu B750.
Một phần hư hỏng dùng để chế biến thức ăn chăn nuôi.
Heo
Phân phối ở các siêu thị lớn BIG C ...
Thương hiệu Heo BAPI ra mắt vào tháng 5/2022. Tính đến đầu
tháng 6/2023 có hơn 25 cửa hàng trên toàn quốc.","Kế hoạch kinh doanh 2023 và giai đoạn tới
Tập đoàn dự kiến sẽ trả thêm 1.000 tỷ đồng nợ ngân hàng
trong năm 2023.
Trọng tâm phát triển 2 mảng là Chuối và Heo."
HHV,HOSE,Kỹ thuật xây dựng,"Cơ cấu doanh thu (2022)
BOT (70,9%); Xây lắp (25,3%); Khác (3,8%)",,"Trạm BOT Hầm Đèo Cả
BOT Hầm Đèo Cả Gồm 6 trạm thu phí: Đèo Cả, Ninh An, AN
Dân, Cù Mông, Bắc Hải Vân, La Sơn - Túy Loan.
Công suất hoạt động tối đa theo ước tính của các trạm BOT
đạt 408.800 xe/trạm/năm (đảm bảo về mặt công suất thiết kế
của cung đường đặt trạm BOT).
2 trạm Ninh An và An Dân được đặt trên QL1A do đó, được
bảo đảm nguồn thu trực tiếp từ lưu lượng trên QL1A mà không
bị ảnh hưởng bởi cung đường thay thế.
Tăng trưởng lưu lượng xe qua BOT Hầm Đèo Cả dự kiến đạt
3,5%/năm. Nguyên nhân do BOT Hầm Đèo Cả có sức cạnh
tranh lớn khi di chuyển qua đèo giúp tiết kiệm từ 45 phút
xuống chỉ còn hơn 10 phút, tiết kiệm cả thời gian và chi phí
xăng dầu, khấu hao xe.
Trạm BOT Bắc Giang - Lạng Sơn
Gồm 4 trạm thu phí: KM44, KM55, KM82, KM94 (Trạm thu phí
tại Km93+160 trên QL1A đã bị dỡ).
Dự kiến lưu lượng xe tăng trưởng thấp (2,7%) do tuyến đường
song song là QL1A vừa được mở rộng và nâng cấp nên các xe
có xu hướng chuyển sang tuyến này để tránh bị thu phí:
Tiết kiệm chi phí, khi thời gian tiết kiệm khi đi qua BOT
Bắc Giang - Lạng Sơn chỉ còn giảm từ 90 phút xuống
khoảng 48 phút, mức giảm khoảng 20 - 30 phút.
• Địa hình ít phải đi đường đèo, gập ghềnh, phức tạp.
• Mức thu phí hiện tại của cao tốc đang tương đối cao,
khoảng 2.000-8.000 VND/km.
Trạm BOT Đèo Cả - Khánh Hòa
Trạm được đặt ngay trên QL1A và không có tuyến thay thế.
Lưu lượng xe hằng năm ước tính tăng trưởn 5%/năm.
Trạm BOT Phước Tượng – Phú Gia
Doanh thu để hoàn vốn cho hầm Phước Tượng – Phú Gia được
thu chung tại trạm thu phí Bắc Hải Vân.
Tăng trưởng lưu lượng xe dự kiến khoảng 0,2%/năm, nguyên
nhân do:
• Giá vé tại Hầm Hải Vân đang tương đối cao, kịch khung
theo quy định của Bộ Giao Thông Vận Tải do Hầm Hải
Vân 2 đã đi vào hoạt động nên tăng giá vé thu. Ngoài ra,
Hầm Hải Vân phải thu chung cho hầm Phước Tượng –
Phú Gia nên giá vé tiếp tục tăng lên.
• Cung đường thay thế là qua đèo Hải Vân vẫn có thể
hoạt động, tuy nhiên do địa hình hiểm trở, nhiều khúc
cua gấp và thời gian di chuyển dài hơn khá nhiều, lên tới
gần 40 phút so với thời gian qua hầm chỉ khoảng 15
phút.
• Phương án tài chính tốc độ giá vé tăng lên ở mức 5-
6%/năm, tương đối cao khiến tốc độ tăng trưởng lưu
lượng xe bị ảnh hưởng.
Ngoài ra, HHV còn đang quản lý 3 nhà máy nhựa
đường ở Đà Nẵng, Bình Định và tỉnh Long An","Vị thế của doanh nghiệp
Công ty Cổ phần Đầu tư Hạ tầng Giao thông Đèo Cả là nhà
đầu tư vào 5 dự án hạ tầng giao thông đường bộ theo hình
thức Hợp đồng BOT lớn tại Việt Nam, là đơn vị hàng đầu trong
lĩnh vực đầu tư các dự án hạ tầng giao thông.
Hoạt động thi công xây lắp các dự án hạ tầng giao
thông đường bộ
HHV là nhà thầu thi công xây lắp cho các dự án hạ tầng giao
thông đường bộ lớn như dự án Hầm đường bộ qua Đèo Cả, dự
án tuyển cao tốc Bắc Giang – Lạng Sơn, hầm đường bộ Phước
Tượng Phú Gia...
Hoạt động duy tu bảo dưỡng thường xuyên công
trình giao thông đường bộ
HHV đang đảm trách việc bảo trì bảo dưỡng, duy tu các hầm
đường bộ Hải Vân, hầm đường bộ Đèo Cả, hầm đường bộ Cù
Mông, hầm Phước Tượng - Phú Gia .... và quản lý, duy tu bảo
dưỡng các tuyến quốc lộ (tuyến cao tốc Bắc Giang - Lạng
Sơn, tuyến quốc lộ 1A qua tỉnh Khánh Hòa ... ).
Các hợp đồng mới được ký kết (2023)
Gói thầu số 2: Dự án đường ven biển Bình Định, đoạn Cát Tiến
Diêm Vân. (Giá trị 649 tỷ đồng)
Thi công hệ thống ATGT, mặt đường bê tông nhựa thuộc dự
án Cam Lâm - Vĩnh Hảo. ( Giá trị 219 tỷ đồng)
Gói thầu XL1: Thi công xây dựng Cao tốc Quảng Ngãi – Hoài
Nhơn Km0+000-Km30+000 (Giá trị 3.682 tỷ đồng).
Gói thầu XL 2: Quảng Ngãi - Hoài Nhơn ( Giá trị 4.129 tỷ đồng).
Gói thầu XL3: Quảng Ngãi - Hoài Nhơn. (Giá trị: 6.686 tỷ đồng)
Dự án nâng cấp, mở rộng đèo Prenn (Giá trị 414 tỷ đồng)
Hoạt động khác
Hợp tác kinh doanh xăng dầu với Petrolimex: HHV đã triển
khai các thủ tục pháp lý đảm bảo đủ điều kiện để Petrolimex
xây dựng cửa hàng kinh doanh xăng dầu Nam Hải Vân đưa
vào hoạt động trong năm 2021.","Kế hoạch kinh doanh 2023 và giai đoạn tới
Năm 2023 dự kiến phát hành cho cổ đông hiện hữu với tỷ lệ
25%. Và chào bán riêng lẻ tỷ lệ dự kiến 18%. Nguồn vốn từ các
đợt phát hành này là cơ cấu nợ, bổ sung vốn lưu động và tài trợ
cho các dự án hiện hữu."
HID,HOSE,Tiện ích điện,"Cơ cấu doanh thu và lợi nhuận gộp theo sản phẩm
(2022)
Hàng hóa
• Doanh thu: 59,4%.
• Lợi nhuận gộp: 11,5%.
Bán điện
• Doanh thu: 36,3%.
• Lợi nhuận gộp: 81,1%.
Cung cấp dịch vụ
• Doanh thu: 4,4%.
• Lợi nhuận gộp: 5,4%.",,"Năng lực sản xuất
NM Phong Điện Phương Mai 3: Công suất 21 MW
NM Điện mặt trời Hậu Giang: Công suất 35 MW
NM Nước Thuận Thành (công ty liên kết): Công suất 7 nghìn
m3/ngày đêm","Hoạt động kinh doanh
Đầu tư nhà máy điện gió, điện mặt trời, điện rác, ... Bất động
sản và Khu nghỉ dưỡng, Dự án hạ tầng giao thông
Địa bàn kinh doanh
Hà Nội, Bắc Ninh, Bình Định, Cần Thơ, Hậu Giang
Hoạt động tư vấn
Công ty đã cung cấp gần 300 hợp đồng dịch vụ tư vấn cho các
dự án về phát triển hạ tầng đô thị, cấp thoát nước,.. tại 50 tỉnh,
thành phố trong cả nước.","Mục tiêu trung và dài hạn
Đầu tư vào các dự án điện năng lượng tái tạo:
• Hướng tới mục tiêu sở hữu 300-500 MW năng lượng
sạch, liên kết đầu tư thành công ít nhất 5 dự án về Nước,
Điện gió, Điện mặt trời, BĐS, NM Điện rác và giao thông
với tổng mức đầu tư 6000-7000 tỷ
Dự án
NM Nước Thuận Thành tại Bắc Ninh:
• Công suất 25 nghìn m3
• Tổng mức vốn đầu tư là 75 tỷ.
• Dự kiến cung cấp nước sạch trên địa bàn Thị trấn Hồ,
các xã địa bàn huyện Thuận Thành và các KCN tỉnh Bắc
Ninh
Hệ thống cấp nước Khu Kinh tế Nhơn Hội, tỉnh Bình Định:
• Công suất 50 nghìn m3/ngày
• Tổng mức đầu tư 1,140 tỷ.
• Dự kiến đi vào khai thác vào Q3/2023"
HII,HOSE,Hóa chất,"Cơ cấu doanh thu và lợi nhuận gộp theo sản phẩm
(2022)
Hạt nhựa, bột đá, hạt nhựa kỹ thuật
• Doanh thu: 94,5%.
• Lợi nhuận gộp: 90,9%.
Dịch vụ khác
• Doanh thu: 5,2%.
• Lợi nhuận gộp: 9,1%.","Sản xuất CaCO3
Đá hộc có kích thước từ 150-400mm có độ trắng sáng từ 97%,
hàm lượng CaCo3 từ 98% trở lên, không lẫn tạp chất.
Nhà máy bột đá hiện đang sử dụng nguồn nguyên vật liệu từ
mỏ đá Mông Sơn và Lục Yên thuộc Tỉnh Yên Bái. Trữ lượng đá
vôi trắng trên địa bản Tỉnh Yên Bái là trên 2,4 tỷ m3.
Sản xuất hạt phụ gia nhựa
Với việc nhà máy sản xuất bột đá siêu mịn CaCO3 đi vào hoạt
động, HII đã tự chủ được nguồn nguyên liệu đầu vào với giá
thành rẻ hơn bởi nguyên liệu đầu vào phục vụ cho sản xuất hạt
nhựa phụ gia chiếm tới 80% là bột đá CaCO3.
80-90% hạt nhựa phục vụ sản xuất phải nhập khẩu từ nước
ngoài.","Nhà máy Filler
10 dây chuyền hạt phụ gia, công suất thiết kế: 120.000
tấn/năm.
Nhà máy sản xuất bột đá CaCo3 (An Tiến Industries)
Công suất 222.000 tấn/năm.
Sản phẩm sản xuất chính bột đá CaCo3 siêu mịn có kích cỡ từ
5 – 40 Micron đáp ứng tiêu chuẩn về độ trắng, sáng, hàm
lượng CaCO3 ứng dụng trong ngành sơn, nhựa, hóa mỹ phẩm","Thị trường tiêu thụ
Cơ cấu sản phẩm của HII tập trung vào các sản phẩm phân
khúc thấp hơn, được tiêu thụ tại khu vực các nước châu Á và
khai thác thị trường nội địa
Hạt phụ gia ngành nhựa Calbest (Ancal):
• Hạt phụ gia PP: Được sản xuất trên nhựa nền PP, chứa
75%-85% bột đá CaCO3 và các phụ gia thích hợp khác.
Ứng dụng: Thổi màng PP; Sản xuất vải không dệt PP;
Kéo sợi dệt bao PP 25kg, bao Jumbo; Ép phun, ép đùn...
• Hạt phụ gia PE: Được sản xuất từ bột đá CaCO3 trên
nền nhựa PE và các chất phụ gia thích hợp khác. Ứng
dụng: Thổi túi; thổi film; tráng PE; sản xuất các sản
phẩm khuôn nhựa PE, HDPE.
• Hạt phụ gia sinh học tự hủy hoàn toàn (Bio compound):
Compound sinh học phân hủy hoàn toàn được làm từ
các vật liệu, chất dẻo có khả năng phân hủy hoàn toàn
bởi vi sinh vật thành nước, khí CO2, mùn hữu cơ trong
môi trường tự nhiên. Ứng dụng: Sản xuất hộp đựng thức
ăn, dao thìa dĩa, sản xuất các sản phẩm dùng một lần;
sản xuất tấm, màng sợi...
Bột đá CaCO3:
• Bột đá CaCO3 siêu mịn được sản xuất từ đá vôi trắng.
• Sản lượng tiêu thụ (2021) đạt 130.000 tấn bột đá/tháng.
Hạt độn màu:
• Được sử dụng rộng rãi trong quá trình sản xuất các sản
phẩm polyolefin như: Sợi (thảm, dệt may, vải nỉ...); màng
phim (túi nhựa, phim đa lớp...); gia công đùn (Sheet,
Pipe, Wire & Cable, v.v.); thổi khuôn (y tế & mỹ phẩm,
sơn...); Injection Molding (ô tô, điện tử, xây dựng, đồ gia
dụng...).
Hạt nhựa kỹ thuật Compound:
• Được sản xuất từ nhựa nguyên sinh, chất tạo màu, và
các loại phụ gia theo tỉ lệ nhất định đáp ứng nhu cầu sản
xuất của khách hàng.
• Với sản phẩm này, nhà sản xuất có thể sử dụng trực tiếp
trong quy trình mà không cần thêm bất kỳ loại phụ gia
nào khác.
• Ứng dụng sản phẩm: sản xuất sản phẩm dân dụng: nồi
cơm điện, bồn cầu, ổ cắm điện,..; sản xuất dây cáp viễn
thông; sản xuất linh kiện xe máy/ôtô.",
HVN,HOSE,Hãng hàng không,"Cơ cấu doanh thu (2022)
Vận tải hàng không (71,7%):
• Doanh thu vận chuyển hành khách, hành lý (54,4%).
• Doanh thu vận chuyển hàng hóa, bưu kiện (15,3%).
• Doanh thu thuê chuyến (1,3%).
• Doanh thu vận chuyển hàng không khác (0,66%).
Hoạt động phụ trợ vận tải (5,8%).
Bán hàng (21%).
Khác (1,6%).","Phí nguyên vật liệu (xăng máy bay) chiếm 37% giá vốn của
HVN","Đội tàu bay (2021)
A350 (Tàu bay thân rộng): 14 chiếc, tuổi thọ trung bình 4,8
năm.
A787-9 (Tàu bay thân rộng): 11 chiếc, tuổi thọ trung bình 5,9
năm.
A787-10 (Tàu bay thân rộng): 4 chiếc, tuổi thọ trung bình 2,3
năm.
A321 CEO (Tàu bay thân hẹp): 49 chiếc, tuổi thọ trung bình
10,3 năm.
ATR72 (Tàu bay phản lực khu vực):7 chiếc, tuổi thọ trung bình
12,2 năm.
A321 NEO (Tàu bay thân hẹp): 20 chiếc, tuổi thọ trung bình
2,7 năm.
Định hướng khai thác đội tàu bay
Đội tàu bay thân rộng: Khai thác các đường bay Mỹ, Châu Âu,
Úc, Đông Bắc Á, và đưa vào khai thác các tần suất mới tại
Châu Âu, Đông Bắc Á.
Đội tàu bay thân hẹp: Khai thác thị trường nội địa, các đường
bay quốc tế có dung lượng thấp hoặc tầm bay ngắn (dưới 5
giờ bay).
Đội tàu bay phản lực khu vực: Khai thác đến các sân bay địa
phương và sân bay hạn chế, các đường bay có dung lượng thị
trường nhỏ, phối hợp sản phẩm với dòng tàu bay thân hẹp
trên các đường bay dung lượng chưa đủ lớn cần tần suất để
cạnh tranh, khai thác các đường bay mới và tới các sân bay
mới (Sa Pa, Nà Sản, Lai Châu...).",,
IDI,HOSE,Sản phẩm thực phẩm,"Cơ cấu doanh thu (2022)
Cá tra (45,12%), Bột cá, mỡ cá (37,08%), Thức ăn chăn nuôi
(16,93%), Dịch vụ (0,86%), Bất động sản (0,01%)
Cơ cấu doanh thu xuất khẩu theo thị trường (2022)
Thị phần thị trường xuất khẩu (2022): Châu Mỹ 33,1%), Châu Á
(50,7%), Châu Âu (10,2%), Châu Phi (2,6%), Châu Úc (3,4%)","Nguyên liệu đầu vào
Tự chủ gần 85% nguồn cá nguyên liệu.
Sản lượng cá nguyên liệu (2021): cá nuôi liên kết là 50.751
nghìn tấn, mua ngoài 8.957 nghìn tấn chiếm tỷ lệ 15%
Giá bình quân (2021): 22.553 nghìn đồng/kg, trong đó giá nuôi
liên kết là 21.113- 22.964 nghìn đồng/kg và giá mua cá ngoài
thị trường là 22.306 đồng/kg
Diện tích vùng nuôi
Sở hữu vùng nuôi cá tra liên kết 350 ha tại tỉnh Đồng Tháp,
trong đó trực tiếp sở hữu là 40ha","Nhà máy sản xuất
Chế biến cá tra: IDI hiện sở hữu 2 nhà máy chế biến cá tra fillet
với tổng công suất đạt 450 tấn/ngày. Trong năm 2021, sản
lượng sản xuất là 59.71 nghìn tấn cá nguyên liệu
Thức ăn thủy sản: công suất 378 nghìn tấn/năm
Nhà máy chế biến bột cá, mỡ cá: với công suất 470 tấn nguyên
liệu/ngày
Nhà máy tinh luyện dầu cá: với công suất 220 tấn nguyên
liệu/ngày
Kho lạnh 3,4: với tổng sức chứa 20 nghìn tấn thành phẩm","Sản lượng tiêu thụ
Thức ăn 77 nghìn tấn, Cá tra 34.154 nghìn tấn
Khách hàng
Xuất khẩu đến hơn 200 khách hàng với 46 quốc gia trên thế
giới.
Thị phần thị trường xuất khẩu (2022)
Châu Mỹ 33,1%), Châu Á (50,7%), Châu Âu (10,2%), Châu Phi
(2,6%), Châu Úc (3,4%)
• Sản lượng hàng xuất bán 51.029 nghìn tấn và Kim ngạch
xuất khẩu đạt hơn 130 triệu USD","Kế hoạch sản xuất 2023
Sản lượng sản xuất: 45.731 nghìn tấn thành phẩm
Sản lượng tiêu thụ: 45.533 nghìn tấn thành phẩm
Các dự án lớn trong giai đoạn tới
Nhà máy chế biến thủy sản số 3
• Công suất thiết kế 500 tấn nguyên liệu/12 giờ/ngày, dự
kiến xây dựng trên phần quỹ đất sẵn có của Công ty
Xây dựng nhà máy sản xuất bao bì thủy sản:
• Nguồn vốn dự kiến khoảng 200 tỷ đồng trên quỹ đất sẵn
có và dự án có thể được khởi công trong Quý III/2022 và
dự kiến hoàn thành trong năm 2023
Mục tiêu đến cuối năm 2023
Diện tích vùng nuôi liên kết đạt khoảng 9 450 ha và đạt
các tiêu chuẩn A.S.C, B.A.P, BRC để chuẩn bị nguyên liệu
cho nhà máy chế biến thủy sản số 03"
